Ticker,Name,Sector,MarketCap,PE,ForwardPE,PB,PS,EVEBITDA,DivYield,ROE,ROA,OperatingMargin,DebtToEquity,CurrentPrice,LastUpdated,Value_Score,Quality_Score,Yield_Score,Total_Score
1211.SR,Saudi Arabian Mining Co.,Basic Materials,263900987392.0,30.357143,43.870968,4.284544,6.8407598,20.114,0.0,13.328000000000001,5.4369997,22.916001,49.907,68.0,2026-04-26T12:34:30.903855+00:00,,1.3111458303076575,-0.44074408746769944,
4100.SR,Makkah Construction and Develop,Consumer Cyclical,16519999488.0,34.85232,32.14008,4.3016353,32.030296,10.232,181.0,3.1170001,2.1399999999999997,58.407,46.34,82.6,2026-04-26T12:34:30.942476+00:00,,0.8374755227891253,-0.22268118132194928,
1120.SR,Al Rajhi Bank,Financial Services,414600003584.0,17.717947,13.237548,2.8834918,10.911536,10.232,340.0,17.910999,2.476,75.167,46.34,69.1,2026-04-26T12:34:30.965375+00:00,,1.6800685807145865,-0.03112315879612454,
4260.SR,United International Transporta,Industrials,4443044352.0,12.801205,8.15739,1.5055972,1.8368074,6.773,266.0,11.9540006,4.9640004,11.932000500000001,57.785,42.5,2026-04-27T09:11:35.399632+00:00,,0.983143541482392,-0.12027594915405555,
2090.SR,National Gypsum Co.,Basic Materials,466450016.0,17.443037,14.8240735,1.4972554,7.699387,-92.912,0.0,-9.354,-2.5320001000000003,-132.98000000000002,11.806,14.73,2026-04-27T09:11:35.404917+00:00,,-3.4542885649271735,-0.44074408746769944,
4004.SR,Dallah Healthcare Co.,Healthcare,12314339328.0,22.597404,23.789064,3.0164943,3.0279508,20.927,164.0,13.741999999999999,4.718,9.359,95.485,121.8,2026-04-27T09:11:35.419564+00:00,,0.890525535755252,-0.243162227755528,
4002.SR,Mouwasat Medical Services Co.,Healthcare,13860000768.0,16.861315,15.785878,3.668608,4.300902,12.967,596.0,22.322,9.645,28.244000000000003,25.239,69.3,2026-04-27T09:11:35.429582+00:00,,2.608954634437342,0.277297305144826,
2222.SR,Saudi Arabian Oil Co.,Energy,6555690860544.0,18.819445,16.227545,4.3936443,3.9227352,8.321,500.0,20.764999,18.552,42.664,21.119,27.1,2026-04-27T09:11:35.430356+00:00,,4.605891822960807,0.16163963116696953,
2030.SR,Saudi Arabia Refineries Co.,Industrials,683400000.0,17.443037,14.8240735,2.4122415,-16.292393,-8.091,0.0,-19.204001,-9.995,111.94301,0.128,45.56,2026-04-27T13:10:35.634248+00:00,,-1.5116079557208166,-0.44074408746769944,
4250.SR,Jabal Omar Development Co.,Consumer Cyclical,18526361600.0,7.73399,14.8240735,1.2210298,33.254448,-584.466,0.0,0.0,0.0,-29.154000000000003,176.599,15.7,2026-04-27T13:10:35.638190+00:00,,-1.2871439595123468,-0.44074408746769944,
7030.SR,Mobile Telecommunication Compan,Communication Services,10757788672.0,17.865671,19.949999,0.98966515,0.97947097,6.485,424.0,5.5960003,2.8850000000000002,14.386,98.118,11.97,2026-04-27T13:10:35.638666+00:00,,0.30580150432148556,0.07007730593449985,
3040.SR,Qassim Cement Co.,Basic Materials,4735074304.0,18.202532,15.918818,1.780658,4.178119,11.974,743.0,9.613,5.35,23.57,3.872,43.14,2026-04-27T13:10:35.640189+00:00,,1.2532731163923025,0.45439811842341865,
1140.SR,Bank Albilad,Financial Services,37889998848.0,12.693467,9.790698,1.763597,6.303932,10.232,400.0,16.028000000000002,1.8599999999999999,56.699,46.34,25.26,2026-04-27T13:10:35.641142+00:00,,1.2028138274341091,0.04116288744003574,
1060.SR,Saudi Awwal Bank,Financial Services,70643834880.0,9.0236225,8.681818,1.0551515,5.0386286,10.232,587.0,11.361,1.9769999999999999,65.683997,46.34,34.38,2026-04-27T13:10:35.642574+00:00,,1.2034915387049154,0.2664543982094019,
4005.SR,National Medical Care Co.,Healthcare,5224261120.0,16.395512,15.754717,2.8251045,3.2644255,11.911,256.0,18.327999000000002,8.41,20.249,27.905,116.9,2026-04-27T13:10:35.645308+00:00,,2.0892674242766405,-0.13232362352674892,
3090.SR,Tabuk Cement Co.,Basic Materials,720000000.0,19.512196,14.814815,0.615148,2.5083504,8.213,625.0,3.143,1.883,4.494,2.961,8.0,2026-04-27T13:10:35.648523+00:00,,0.025825642756987788,0.31223556082563675,
5110.SR,Saudi Energy Co.,Utilities,73582043136.0,18.395834,14.128,0.8751672,0.7198556,6.638,403.0,5.098,1.973,11.902001,77.641,17.66,2026-04-27T13:10:35.651952+00:00,,0.09873385382568273,0.04477718975184375,
4160.SR,Thimar Development Holding Co.,Consumer Defensive,215410000.0,17.443037,14.8240735,19.50559,197.98714,-12.33,0.0,-72.622,-14.772001000000001,-480.73997,109.235,33.14,2026-04-27T13:10:35.653836+00:00,,-13.706469741363797,-0.44074408746769944,
4015.SR,Jamjoom Pharmaceuticals Factory,Healthcare,10885000192.0,24.373041,14.8240735,6.340469,7.2536325,20.212,259.0,28.921000000000003,15.558,23.528999,0.957,155.5,2026-04-27T13:10:35.655378+00:00,,4.015913924958144,-0.1287093212149409,
4050.SR,Saudi Automotive Services Co.,Consumer Cyclical,3612000000.0,56.086952,83.2258,4.0505533,0.30599725,27.0,0.0,6.851999999999999,1.461,0.28700000000000003,453.912,51.6,2026-04-27T13:10:35.656152+00:00,,-0.7703273197604661,-0.44074408746769944,
4001.SR,Abdullah Al Othaim Markets Co.,Consumer Defensive,5579999744.0,22.142857,12.653061,4.548789,0.5032106,14.884,852.0,19.511999,2.921,4.711,236.069,6.2,2026-04-27T13:10:35.659542+00:00,,0.4106774017329825,0.5857177690857764,
2001.SR,Methanol Chemicals Co.,Basic Materials,600749952.0,17.443037,14.833332,2.3213353,0.9148325,-6.584,0.0,-137.198,-9.648,-19.461000000000002,321.934,8.9,2026-04-27T13:10:35.661135+00:00,,-8.130217269291121,-0.44074408746769944,
4071.SR,Arabian Contracting Services Co,Communication Services,6033499648.0,32.076023,14.8240735,3.8885539,3.0908353,19.112,0.0,13.958,4.473,61.562,382.696,109.7,2026-04-27T13:10:35.664503+00:00,,1.1631254946688263,-0.44074408746769944,
2140.SR,AYYAN Investment Co.,Healthcare,1075802368.0,17.443037,14.8240735,1.1296629,123.85823,-19.383,0.0,-1.195,-0.985,107.89999999999999,6.865,10.69,2026-04-27T13:10:35.666350+00:00,,0.882450494926288,-0.44074408746769944,
4130.SR,Saudi Darb Investment Co.,Industrials,478066080.0,73.0,14.8240735,2.0797722,26.162292,44.725,0.0,2.9930001,1.6900001000000002,42.492000000000004,4.154,2.19,2026-04-27T13:10:35.668403+00:00,,0.5672283898707657,-0.44074408746769944,
